Class1,Class2,Class3,Class4,Reason,StockCode,StockName
N,PO,NK,F,0,011200,현대상선
N,PO,NK,F,0,017800,현대엘리베이
N,PO,NK,F,0,054300,팬스타엔터프라이즈
N,PO,NK,F,0,007110,일신석재
N,PO,NK,F,0,039310,세중
N,PO,NK,F,0,007720,대명코퍼레이션
N,PO,NK,F,0,032350,롯데관광개발
N,PO,NK,F,0,005110,한창
N,PO,NK,G,0,081150,티플랙스
N,PO,NK,G,0,003010,혜인
N,PO,NK,G,0,010040,한국내화
N,PO,NK,G,0,009520,포스코엠텍
N,PO,NK,G,0,000910,유니온
N,PO,NK,G,0,011760,현대상사
N,PO,NK,G,0,128660,피제이메탈
N,PO,NK,H,0,002680,한탑
N,PO,NK,H,0,008040,사조동아원
N,PO,NK,H,0,001130,대한제분
N,PO,NK,H,0,006880,신송홀딩스
N,PO,FC,A,0,012330,현대모비스
N,PO,FC,A,0,004020,현대제철
N,PO,FC,A,0,288620,에스퓨얼셀
N,PO,FC,A,B,0,012330,현대모비스
N,PO,FC,A,B,0,011320,유니크
N,PO,FC,A,B,0,033530,세종공업
N,PO,FC,A,C,0,018880,한온시스템
N,PO,FC,A,C,0,126870,뉴로스
N,PO,FC,A,C,0,120110,코오롱인더
N,PO,FC,A,D,0,018880,한온시스템
N,PO,FC,A,D,0,013870,지엠비코리아
N,PO,FC,A,D,0,033530,세종공업
N,PO,FC,A,E,0,081000,일진다이아
N,PO,FC,A,E,0,015860,일진홀딩스
N,PO,FC,A,E,0,009680,모토닉
N,PO,FC,A,E,0,033530,세종공업
N,PO,FC,A,G,0,038870,에코바이오
N,PO,FC,A,G,0,298040,효성중공업
N,PO,FC,A,G,0,004800,효성
N,PO,FC,A,G,0,095190,이엠코리아
N,PO,FC,A,G,0,085310,엔케이
N,PO,FC,A,G,0,126880,제이엔케이히터
N,PO,FC,A,H,0,023900,풍국주정
N,PO,FC,A,E,0,037370,EG
N,PO,FC,A,F,0,014915,성문전자
N,PO,FC,A,F,0,012340,뉴인텍
N,PO,FC,A,F,0,014910,성문전자우
N,PO,FC,A,A,0,041930,동아화성
N,PO,FC,A,A,0,078130,국일제지
N,PO,FC,A,D,0,080470,성창오토텍
N,PO,FC,A,A,0,069140,누리플랜
N,PO,FC,A,F,0,900260,로스웰
N,PO,FC,A,A,0,090080,평화산업
N,PO,FC,A,A,0,010770,평화홀딩스
N,PO,FC,A,A,0,033290,코웰패션
N,PO,FC,A,F,0,009320,대우부품
N,PO,FC,A,F,0,011230,삼화전자
N,PO,FC,A,F,0,009470,삼화전기
N,PO,FC,A,F,0,001820,삼화콘덴서
N,PO,FC,A,B,0,023800,인지콘트롤스
N,PO,FC,A,A,0,000430,대원강업
N,PO,FC,A,A,0,089980,상아프론테크
N,PO,FC,A,F,0,025320,시노펙스
N,PO,FC,A,F,0,215360,우리산업
N,PO,FC,A,F,0,105740,디케이락
N,PO,FC,A,F,0,053270,구영테크
N,PO,FC,A,F,0,134780,화진
N,PO,FC,A,F,0,066590,우수AMS
N,PO,FC,A,F,0,900070,글로벌에스엠
W,AI,A,0,0,044340,위닉스
W,AI,A,0,0,045520,크린앤사이언스
W,AI,A,0,0,187790,나노
W,AI,A,0,0,066130,하츠
W,AI,A,0,0,071460,대유위니아
W,AI,A,0,0,002700,신일산업
W,AI,A,0,0,037070,파세코
W,AI,A,0,0,016920,카스
W,AI,B,0,0,002720,국제약품
W,AI,B,0,0,012690,모나리자
W,AI,B,0,0,045060,오공
